ISPB,Nome_Reduzido,Número_Código,Participa_da_Compe,Acesso_Principal,Nome_Extenso,Início_da_Operação
35977097,UP.P SEP S.A.,373,Não,RSFN,UP.P SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.,25/03/2020
36113876,OLIVEIRA TRUST DTVM S.A.,111,Não,RSFN,OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIARIOS S.A.,24/03/2011
36266751,FINVEST DTVM,512,Não,RSFN,FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,01/08/2022
36583700,QISTA S.A. CFI,516,Não,RSFN,"QISTA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",24/10/2022
36586946,BONUSPAGO SCD S.A.,408,Não,RSFN,BONUSPAGO SOCIEDADE DE CRÉDITO DIRETO S.A.,14/10/2020
36864992,MAF DTVM SA,484,Não,RSFN,MAF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,20/07/2022
36947229,COBUCCIO S.A. SCFI,402,Não,RSFN,"COBUCCIO S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",03/12/2020
37229413,SCFI EFÍ S.A.,507,Não,RSFN,"SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO EFÍ S.A.",12/12/2022
37241230,SUMUP SCD S.A.,404,Não,RSFN,SUMUP SOCIEDADE DE CRÉDITO DIRETO S.A.,16/10/2020
37414009,ZIPDIN SCD S.A.,418,Não,RSFN,ZIPDIN SOLUÇÕES DIGITAIS SOCIEDADE DE CRÉDITO DIRETO S/A,26/08/2021
37526080,LEND SCD S.A.,414,Não,RSFN,LEND SOCIEDADE DE CRÉDITO DIRETO S.A.,25/03/2021
37555231,DM,449,Não,RSFN,DM SOCIEDADE DE CRÉDITO DIRETO S.A.,22/10/2021
37679449,MERCADO CRÉDITO SCFI S.A.,518,Não,RSFN,"MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",30/01/2023
37715993,ACCREDITO SCD S.A.,406,Não,RSFN,ACCREDITO - SOCIEDADE DE CRÉDITO DIRETO S.A.,27/11/2020
37880206,CORA SCD S.A.,403,Não,RSFN,CORA SOCIEDADE DE CRÉDITO DIRETO S.A.,29/09/2020
38129006,NUMBRS SCD S.A.,419,Não,RSFN,NUMBRS SOCIEDADE DE CRÉDITO DIRETO S.A.,18/03/2021
38224857,DELCRED SCD S.A.,435,Sim,RSFN,DELCRED SOCIEDADE DE CRÉDITO DIRETO S.A.,27/08/2021
38429045,FÊNIX DTVM LTDA.,455,Não,RSFN,FÊNIX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,05/12/2022
38593706,MULTICRED SCD S.A.,544,Não,RSFN,MULTICRED SOCIEDADE DE CRÉDITO DIRETO S.A.,04/09/2023
